file,description_ca,description_es,description_en
gastronomy/1.jpg,Pintxo de pop a la Gallega en base de patata confitada,Montadito de pulpo a la Gallega en base de patata confitada,Octopus Galician style
gastronomy/2.jpg,Paperina de xips de verdures,Paperina de chips de verduras,Vegetable chips
gastronomy/3.jpg,Xopet de formatge manxec amb melmelada de mango,Chupito de queso manchego con mermelada de mango,Shot of manchego cheese with mango 
gastronomy/4.jpg,Caramel de formatge brie amb fruits vermells,Caramelo de queso brie con frutos rojos,Cheese brie with red fruits
gastronomy/5.jpg,Canapè de carpaccio de vedella,Canapé de carpaccio de ternera,Canape of beef carpaccio
gastronomy/6.jpg,Xupa-Xup de guatlla amb reducció de Porto,Chupa- Chup de codorniz con reducción de Oporto,Chupa - Chup quail with port reduction
gastronomy/7.jpg,Gaspatxo de llamàntol amb vinagreta de pinyons,Gazpacho de bogavante con vinagreta de piñones,Lobster with pine nut vinaigrette gazpacho
gastronomy/8.jpg,Crema de coco amb sopa de maduixa i granissat de Coca-Cola,Crema de coco con sopa de fresa y granizado de Coca-Cola,Coconut cream with Strawberry soup and iced/slush Coca-Cola
gastronomy/9.jpg,Aperitiu amb vistes al mar,Aperitivo con vistas al mar,Appetizer with sea views
gastronomy/10.jpg,Amanida de salmó,Ensadala de salmón,Salmon salad
gastronomy/11.jpg,Entranya de Kobe a la pedra,Entraña de Kobe a la piedra,Kobe's Skirt steak 
photography/1.jpg,Casament romàntic,Boda romàntica,Romantic wedding
photography/2.jpg,"Lloc encantat, Casament J&M","Lugar encantado, Boda J&M","Enchanted place, Wedding J&M"
photography/3.jpg,Casament a Sant Cugat del Vallès,Boda en San Cugat del Vallés,Wedding in Sant Cugat del Vallés
photography/4.jpg,Convidats gaudint de l'aperitiu,Invitados disfrutando del aperitivo,Guests enjoying an aperitif
photography/5.jpg,Casaments autèntics,Bodas auténticas,Real/ authentic weddings
photography/6.jpg,Cerimònia rústica,Ceremonia rústica,Rustic ceremony
photography/7.jpg,Casament a Formentera,Boda en Formentera,Wedding in Formentera
photography/8.jpg,Amb un convidat especial!,¡Con un invitado especial!,With a special guest!
photography/9.jpg,Salut!,¡Salud!,Cheers!
photography/10.jpg,Casament rústic,Boda rústica,Rustic wedding
